row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
226.0,Melanoma of the skin,2015,Females,Victoria,1162,38.2,111,3.6,Female,3081673
227.0,Melanoma of the skin,2015,Females,Queensland,1561,65.0,97,4.0,Female,2419586
228.0,Melanoma of the skin,2015,Females,Western Australia,669,52.9,54,4.3,Female,1268953
229.0,Melanoma of the skin,2015,Females,South Australia,295,34.3,24,2.8,Female,862235
230.0,Melanoma of the skin,2015,Females,Tasmania,136,52.4,5,1.9,Female,260242
231.0,Melanoma of the skin,2015,Females,Australian Capital Territory,70,36.1,6,3.1,Female,201178
232.0,Melanoma of the skin,2015,Females,Northern Territory,27,23.7,2,n.p.,Female,117123
233.0,Melanoma of the skin,2015,Females,,5714,47.7,475,4.0,Female,12080273
234.0,Melanoma of the skin,2015,Persons,New South Wales,4361,57.3,562,7.4,Person,7671401
235.0,Melanoma of the skin,2015,Persons,Victoria,2695,44.8,326,5.4,Person,6093049
236.0,Melanoma of the skin,2015,Persons,Queensland,3753,78.6,318,6.7,Person,4804933
237.0,Melanoma of the skin,2015,Persons,Western Australia,1564,61.6,156,6.1,Person,2547745
238.0,Melanoma of the skin,2015,Persons,South Australia,766,45.0,98,5.8,Person,1705937
239.0,Melanoma of the skin,2015,Persons,Tasmania,302,58.6,23,4.5,Person,515697
240.0,Melanoma of the skin,2015,Persons,Australian Capital Territory,153,40.1,18,4.6,Person,398874
241.0,Melanoma of the skin,2015,Persons,Northern Territory,75,31.4,8,3.5,Person,244692
242.0,Melanoma of the skin,2015,Persons,,13718,57.6,1514,6.4,Person,23984581
243.0,Melanoma of the skin,2016,Males,New South Wales,2858,74.5,288,7.5,Male,3865361
244.0,Melanoma of the skin,2016,Males,Victoria,1569,51.4,178,5.8,Male,3082379
245.0,Melanoma of the skin,2016,Males,Queensland,2331,97.0,213,8.9,Male,2421215
246.0,Melanoma of the skin,2016,Males,Western Australia,912,71.1,91,7.1,Male,1288303
247.0,Melanoma of the skin,2016,Males,South Australia,463,54.7,56,6.6,Male,849914
248.0,Melanoma of the skin,2016,Males,Tasmania,185,72.2,23,9.0,Male,258456
249.0,Melanoma of the skin,2016,Males,Australian Capital Territory,92,47.4,11,5.8,Male,202502
