Year,Sex,Type,Cases,Population,State
2010,Males,Incident,51,1167862,Western Australia
2010,Males,Incident,22,808037,South Australia
2010,Males,Incident,12,253833,Tasmania
2010,Males,Incident,4,181314,Australian Capital Territory
2010,Males,Incident,1,120979,Northern Territory
2010,Males,Incident,434,11034979,
2010,Females,Incident,120,3614333,New South Wales
2010,Females,Incident,33,2774752,Victoria
2010,Females,Incident,64,2222453,Queensland
2010,Females,Incident,29,1151201,Western Australia
2010,Females,Incident,7,824445,South Australia
2010,Females,Incident,10,256386,Tasmania
2010,Females,Incident,2,183519,Australian Capital Territory
2010,Females,Incident,0,109534,Northern Territory
2010,Females,Incident,265,11137490,
2010,Persons,Incident,294,7179891,New South Wales
2010,Persons,Incident,82,5495711,Victoria
2010,Persons,Incident,182,4436882,Queensland
2010,Persons,Incident,80,2319063,Western Australia
2010,Persons,Incident,29,1632482,South Australia
2010,Persons,Incident,22,510219,Tasmania
2010,Persons,Incident,6,364833,Australian Capital Territory
2010,Persons,Incident,1,230460,Northern Territory
2010,Persons,Incident,699,22172469,
2011,Males,Incident,188,3604198,New South Wales
2011,Males,Incident,38,2766513,Victoria
2011,Males,Incident,122,2253923,Queensland
2011,Males,Incident,58,1202068,Western Australia
2011,Males,Incident,30,815608,South Australia
2011,Males,Incident,10,254896,Tasmania
2011,Males,Incident,4,184982,Australian Capital Territory
2011,Males,Incident,1,122136,Northern Territory
2011,Males,Incident,452,11206252,
2011,Females,Incident,106,3654524,New South Wales
2011,Females,Incident,23,2825305,Victoria
2011,Females,Incident,60,2264726,Queensland
2011,Females,Incident,39,1183879,Western Australia
2011,Females,Incident,6,831575,South Australia
2011,Females,Incident,2,256984,Tasmania
2011,Females,Incident,2,187088,Australian Capital Territory
2011,Females,Incident,0,110816,Northern Territory
2011,Females,Incident,238,11315945,
2011,Persons,Incident,294,7258722,New South Wales
2011,Persons,Incident,61,5591818,Victoria
2011,Persons,Incident,182,4518649,Queensland
2011,Persons,Incident,97,2385947,Western Australia
2011,Persons,Incident,36,1647183,South Australia
2011,Persons,Incident,12,511880,Tasmania
2011,Persons,Incident,6,372070,Australian Capital Territory
2011,Persons,Incident,2,232952,Northern Territory
2011,Persons,Incident,690,22522197,
2012,Males,Incident,200,3650035,New South Wales
2012,Males,Incident,36,2825349,Victoria
2012,Males,Incident,131,2299776,Queensland
2012,Males,Incident,71,1239615,Western Australia
2012,Males,Incident,24,823688,South Australia
2012,Males,Incident,11,254866,Tasmania
2012,Males,Incident,5,188673,Australian Capital Territory
2012,Males,Incident,1,125043,Northern Territory
2012,Males,Incident,478,11408788,
2012,Females,Incident,116,3703154,New South Wales
2012,Females,Incident,28,2884237,Victoria
2012,Females,Incident,71,2311528,Queensland
2012,Females,Incident,47,1217874,Western Australia
2012,Females,Incident,13,839394,South Australia
2012,Females,Incident,8,257127,Tasmania
2012,Females,Incident,2,191139,Australian Capital Territory
2012,Females,Incident,1,113685,Northern Territory
2012,Females,Incident,286,11519235,
2012,Persons,Incident,316,7353189,New South Wales
2012,Persons,Incident,64,5709586,Victoria
2012,Persons,Incident,202,4611304,Queensland
2012,Persons,Incident,118,2457489,Western Australia
2012,Persons,Incident,37,1663082,South Australia
2012,Persons,Incident,19,511993,Tasmania
2012,Persons,Incident,7,379812,Australian Capital Territory
2012,Persons,Incident,2,238728,Northern Territory
2012,Persons,Incident,764,22928023,
2013,Males,Incident,240,3698220,New South Wales
2013,Males,Incident,57,2884387,Victoria
2013,Males,Incident,148,2333762,Queensland
2013,Males,Incident,87,1259941,Western Australia
2013,Males,Incident,23,830900,South Australia
2013,Males,Incident,12,254878,Tasmania
2013,Males,Incident,5,191691,Australian Capital Territory
2013,Males,Incident,1,126921,Northern Territory
2013,Males,Incident,575,11582448,
2013,Females,Incident,116,3756718,New South Wales
2013,Females,Incident,29,2948198,Victoria
2013,Females,Incident,72,2351677,Queensland
2013,Females,Incident,44,1242247,Western Australia
2013,Females,Incident,9,847152,South Australia
2013,Females,Incident,5,258137,Tasmania
2013,Females,Incident,2,194627,Australian Capital Territory
2013,Females,Incident,0,115450,Northern Territory
2013,Females,Incident,275,11715329,
2013,Persons,Incident,356,7454938,New South Wales
2013,Persons,Incident,86,5832585,Victoria
2013,Persons,Incident,220,4685439,Queensland
2013,Persons,Incident,131,2502188,Western Australia
2013,Persons,Incident,32,1678052,South Australia
2013,Persons,Incident,17,513015,Tasmania
2013,Persons,Incident,7,386318,Australian Capital Territory
2013,Persons,Incident,2,242304,Northern Territory
2013,Persons,Incident,850,23297777,
2014,Males,Incident,224,3750061,New South Wales
2014,Males,Incident,83,2945763,Victoria
2014,Males,Incident,131,2361282,Queensland
2014,Males,Incident,77,1271552,Western Australia
2014,Males,Incident,27,838094,South Australia
2014,Males,Incident,11,255134,Tasmania
2014,Males,Incident,5,194291,Australian Capital Territory
2014,Males,Incident,2,127079,Northern Territory
2014,Males,Incident,561,11744498,
2014,Females,Incident,118,3812110,New South Wales
2014,Females,Incident,38,3011749,Victoria
2014,Females,Incident,74,2385981,Queensland
2014,Females,Incident,43,1257067,Western Australia
2014,Females,Incident,16,855013,South Australia
2014,Females,Incident,5,259067,Tasmania
2014,Females,Incident,1,197690,Australian Capital Territory
2014,Females,Incident,0,116165,Northern Territory
2014,Females,Incident,295,11895833,
2014,Persons,Incident,342,7562171,New South Wales
2014,Persons,Incident,121,5957512,Victoria
2014,Persons,Incident,205,4747263,Queensland
2014,Persons,Incident,120,2528619,Western Australia
2014,Persons,Incident,43,1693107,South Australia
2014,Persons,Incident,16,514040,Tasmania
2014,Persons,Incident,7,391981,Australian Capital Territory
2014,Persons,Incident,2,243201,Northern Territory
2014,Persons,Incident,856,23640331,
2015,Males,Incident,251,3803289,New South Wales
2015,Males,Incident,79,3011376,Victoria
2015,Males,Incident,138,2385347,Queensland
2015,Males,Incident,81,1278792,Western Australia
2015,Males,Incident,30,843702,South Australia
2015,Males,Incident,10,255551,Tasmania
2015,Males,Incident,5,197696,Australian Capital Territory
2015,Males,Incident,2,127914,Northern Territory
2015,Males,Incident,598,11904308,
2015,Females,Incident,136,3868112,New South Wales
2015,Females,Incident,39,3081673,Victoria
2015,Females,Incident,82,2419586,Queensland
2015,Females,Incident,44,1268953,Western Australia
2015,Females,Incident,15,862235,South Australia
2015,Females,Incident,14,260242,Tasmania
2015,Females,Incident,1,201178,Australian Capital Territory
2015,Females,Incident,0,117123,Northern Territory
2015,Females,Incident,332,12080273,
2015,Persons,Incident,387,7671401,New South Wales
2015,Persons,Incident,118,6093049,Victoria
2015,Persons,Incident,220,4804933,Queensland
2015,Persons,Incident,125,2547745,Western Australia
2015,Persons,Incident,45,1705937,South Australia
2015,Persons,Incident,24,515697,Tasmania
2015,Persons,Incident,7,398874,Australian Capital Territory
2015,Persons,Incident,2,244692,Northern Territory
2015,Persons,Incident,930,23984581,
2016,Males,Incident,260,3865361,New South Wales
2016,Males,Incident,92,3082379,Victoria
2016,Males,Incident,157,2421215,Queensland
2016,Males,Incident,71,1288303,Western Australia
2016,Males,Incident,38,849914,South Australia
2016,Males,Incident,11,258456,Tasmania
2016,Males,Incident,6,202502,Australian Capital Territory
2016,Males,Incident,2,128021,Northern Territory
2016,Males,Incident,638,12098143,
2016,Females,Incident,144,3930264,New South Wales
2016,Females,Incident,49,3153402,Victoria
2016,Females,Incident,76,2461724,Queensland
2016,Females,Incident,55,1281303,Western Australia
2016,Females,Incident,13,869666,South Australia
2016,Females,Incident,3,263525,Tasmania
