Year,Sex,Incident,Mortality,Population,State
2007,Males,5,1,170383,Australian Capital Territory
2007,Males,0,0,112777,Northern Territory
2007,Males,416,82,10449776,
2007,Females,119,22,3470199,New South Wales
2007,Females,36,5,2624884,Victoria
2007,Females,49,8,2083862,Queensland
2007,Females,25,7,1059019,Western Australia
2007,Females,7,5,799134,South Australia
2007,Females,6,5,250539,Tasmania
2007,Females,2,0,173793,Australian Capital Territory
2007,Females,0,0,103841,Northern Territory
2007,Females,242,52,10566345,
2007,Persons,297,57,6883852,New South Wales
2007,Persons,89,11,5199503,Victoria
2007,Persons,158,31,4159990,Queensland
2007,Persons,73,19,2135006,Western Australia
2007,Persons,21,9,1578489,South Australia
2007,Persons,18,6,495858,Tasmania
2007,Persons,7,1,344176,Australian Capital Territory
2007,Persons,0,0,216618,Northern Territory
2007,Persons,658,134,21016121,
2008,Males,166,28,3476199,New South Wales
2008,Males,40,6,2633317,Victoria
2008,Males,119,25,2135996,Queensland
2008,Males,52,5,1113633,Western Australia
2008,Males,11,4,789696,South Australia
2008,Males,7,2,248714,Tasmania
2008,Males,4,2,174242,Australian Capital Territory
2008,Males,1,0,116223,Northern Territory
2008,Males,402,75,10689738,
2008,Females,127,24,3525583,New South Wales
2008,Females,30,6,2679968,Victoria
2008,Females,38,11,2139555,Queensland
2008,Females,29,3,1095295,Western Australia
2008,Females,6,4,808184,South Australia
2008,Females,8,0,253060,Tasmania
2008,Females,2,0,176859,Australian Capital Territory
2008,Females,0,0,106303,Northern Territory
2008,Females,241,48,10785887,
2008,Persons,293,52,7001782,New South Wales
2008,Persons,70,12,5313285,Victoria
2008,Persons,157,36,4275551,Queensland
2008,Persons,81,8,2208928,Western Australia
2008,Persons,17,8,1597880,South Australia
2008,Persons,15,2,501774,Tasmania
2008,Persons,6,2,351101,Australian Capital Territory
2008,Persons,1,0,222526,Northern Territory
2008,Persons,643,123,21475625,
2009,Males,190,35,3526643,New South Wales
2009,Males,47,9,2686022,Victoria
2009,Males,135,24,2181500,Queensland
2009,Males,46,6,1140480,Western Australia
2009,Males,15,7,800926,South Australia
2009,Males,9,3,251434,Tasmania
2009,Males,3,2,177822,Australian Capital Territory
2009,Males,1,0,119297,Northern Territory
2009,Males,446,84,10886022,
2009,Females,111,22,3574861,New South Wales
2009,Females,32,14,2733227,Victoria
2009,Females,55,5,2185954,Queensland
2009,Females,31,5,1123267,Western Australia
2009,Females,10,5,817652,South Australia
2009,Females,5,0,255027,Tasmania
2009,Females,2,1,180037,Australian Capital Territory
2009,Females,0,0,108486,Northern Territory
2009,Females,247,52,10979601,
2009,Persons,301,57,7101504,New South Wales
2009,Persons,79,23,5419249,Victoria
2009,Persons,190,29,4367454,Queensland
2009,Persons,77,11,2263747,Western Australia
2009,Persons,25,12,1618578,South Australia
2009,Persons,14,3,506461,Tasmania
2009,Persons,5,2,357859,Australian Capital Territory
2009,Persons,1,0,227783,Northern Territory
2009,Persons,693,136,21865623,
2010,Males,174,34,3565558,New South Wales
2010,Males,49,14,2720959,Victoria
2010,Males,118,25,2214429,Queensland
2010,Males,51,9,1167862,Western Australia
2010,Males,22,4,808037,South Australia
2010,Males,12,1,253833,Tasmania
2010,Males,4,2,181314,Australian Capital Territory
2010,Males,1,0,120979,Northern Territory
2010,Males,434,88,11034979,
2010,Females,120,18,3614333,New South Wales
2010,Females,33,7,2774752,Victoria
2010,Females,64,15,2222453,Queensland
2010,Females,29,1,1151201,Western Australia
2010,Females,7,2,824445,South Australia
2010,Females,10,2,256386,Tasmania
2010,Females,2,1,183519,Australian Capital Territory
2010,Females,0,0,109534,Northern Territory
2010,Females,265,48,11137490,
2010,Persons,294,52,7179891,New South Wales
2010,Persons,82,21,5495711,Victoria
2010,Persons,182,40,4436882,Queensland
2010,Persons,80,10,2319063,Western Australia
2010,Persons,29,6,1632482,South Australia
2010,Persons,22,3,510219,Tasmania
2010,Persons,6,2,364833,Australian Capital Territory
2010,Persons,1,0,230460,Northern Territory
2010,Persons,699,136,22172469,
2011,Males,188,37,3604198,New South Wales
2011,Males,38,16,2766513,Victoria
2011,Males,122,22,2253923,Queensland
2011,Males,58,4,1202068,Western Australia
2011,Males,30,5,815608,South Australia
2011,Males,10,3,254896,Tasmania
2011,Males,4,1,184982,Australian Capital Territory
2011,Males,1,0,122136,Northern Territory
2011,Males,452,89,11206252,
2011,Females,106,22,3654524,New South Wales
2011,Females,23,14,2825305,Victoria
2011,Females,60,12,2264726,Queensland
2011,Females,39,2,1183879,Western Australia
2011,Females,6,2,831575,South Australia
2011,Females,2,0,256984,Tasmania
2011,Females,2,1,187088,Australian Capital Territory
2011,Females,0,0,110816,Northern Territory
2011,Females,238,52,11315945,
2011,Persons,294,59,7258722,New South Wales
2011,Persons,61,30,5591818,Victoria
2011,Persons,182,34,4518649,Queensland
2011,Persons,97,6,2385947,Western Australia
2011,Persons,36,7,1647183,South Australia
2011,Persons,12,3,511880,Tasmania
2011,Persons,6,2,372070,Australian Capital Territory
2011,Persons,2,1,232952,Northern Territory
2011,Persons,690,141,22522197,
2012,Males,200,41,3650035,New South Wales
2012,Males,36,10,2825349,Victoria
2012,Males,131,26,2299776,Queensland
2012,Males,71,19,1239615,Western Australia
2012,Males,24,5,823688,South Australia
2012,Males,11,1,254866,Tasmania
2012,Males,5,1,188673,Australian Capital Territory
2012,Males,1,0,125043,Northern Territory
2012,Males,478,103,11408788,
2012,Females,116,28,3703154,New South Wales
2012,Females,28,7,2884237,Victoria
2012,Females,71,11,2311528,Queensland
2012,Females,47,3,1217874,Western Australia
2012,Females,13,1,839394,South Australia
2012,Females,8,1,257127,Tasmania
2012,Females,2,1,191139,Australian Capital Territory
2012,Females,1,0,113685,Northern Territory
2012,Females,286,51,11519235,
2012,Persons,316,69,7353189,New South Wales
2012,Persons,64,17,5709586,Victoria
2012,Persons,202,37,4611304,Queensland
2012,Persons,118,22,2457489,Western Australia
2012,Persons,37,6,1663082,South Australia
2012,Persons,19,2,511993,Tasmania
2012,Persons,7,2,379812,Australian Capital Territory
2012,Persons,2,1,238728,Northern Territory
2012,Persons,764,154,22928023,
2013,Males,240,44,3698220,New South Wales
2013,Males,57,19,2884387,Victoria
2013,Males,148,38,2333762,Queensland
2013,Males,87,11,1259941,Western Australia
2013,Males,23,6,830900,South Australia
2013,Males,12,1,254878,Tasmania
2013,Males,5,1,191691,Australian Capital Territory
2013,Males,1,1,126921,Northern Territory
