Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0.0037,0.004196,0.01556,0.015712,0.025255,0.159962,0.802594,1.558143,1.5955906
Pakistan,17.0854,18.283058,19.944752,21.933483,21.526897,22.746653,24.797253,18.446575,24.107826,21.5048,18.484977,19.163997,21.378427,25.6386,27.2924,30.699635,30.250881,31.678938,27.340706,28.755348,29.823338,30.62125,10.831467,31.7822036,32.9277949,33.8395791,36.4758964,33.7010768,34.0647713,40.6027557,44.0635779,42.4860995,40.9512546,43.6854306
Peru,10.605,11.625,9.822,11.908,12.866,13.0796,13.461,13.3691,13.9348,14.6802,16.3349,17.779,18.2273,18.7309,17.6795,18.3262,19.9435,19.967,19.5208,20.365,20.7263,22.2335,22.7608,23.4777,23.9585,25.4186924,25.7554226,30.912577,33.528151,34.4046111,33.608704,35.1230194,33.0654973,32.9591623
Philippines,11.95776,10.903,10.14,10.697,12.182,12.367,13.564,13.306,13.98,18.434,19.425,17.546,17.275466,17.692264,18.874231,18.308202,20.459303,18.837272,20.628004,20.190804,17.822798,19.844552,20.761602,19.902948,19.809654,20.963176,21.979458,23.188735,23.344059,22.0625487,21.6558572,23.463981,24.7557781,25.7369781
Poland,1.472,1.508,1.618,1.549,1.784,1.955,2.064,2.132,2.533,2.352,2.332,2.783,2.767,2.25,3.0744,3.8468,4.2908,5.4295,6.607,8.6783,10.8885,13.138,16.8794,17.0666,19.845,22.486,22.808,24.122,21.617,25.458832,28.226562,30.568451,37.688578,46.44113
Portugal,9.8509596,9.8569596,5.53683838,9.45355556,11.642,9.389,15.791,14.231,14.1524,8.6482,12.8684,15.7416,9.7328,17.7056,12.3189,8.2298,15.638,16.171,14.641,18.293,28.356,24.113,19.372,29.4713243,31.5620808,24.3718653,32.261,22.574,29.401,27.405,30.1054706,31.5458683,27.619,34.274
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010635,0.010635,0.080231,0.10832,0.125841,0.13114,0.137309,0.142889,0.125939,0.142752,0.14236197,0.40569568,1.454752
Romania,11.4130627,14.588,11.702,12.769,13.046,16.693,15.755,17.52,18.89,18.29,14.778,14.923,16.049,13.262,16.517,20.213,18.361,16.004,17.224,15.5540101,20.3020202,16.314,14.926,19.9855,25.0474,26.202,26.969,24.282168,26.19403,24.636065,24.605394,26.343733,23.609055,28.0127003
Russia,166.91061,168.159,172.657,174.349,175.987,176.3142,154.366,157.491,158.555,160.55,164.157,174.0162,162.3535,156.0444,176.1338,173.0691,173.7959,177.5361,165.2741,174.7002,167.0248,163.619,163.966612,181.6479,174.205006,168.958307,185.67444,186.365528,192.003836,196.214549,216.253199,220.249244,205.108039,209.097475
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000609,0.000609,0.004089,0.005392,0.025637,0.042475,0.045881,0.045881,0.045881,0.069854,0.16430616,0.21243062,0.21299703,0.83609488,2.2813614,5.7692434
